message;severity;node;stamp;location
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.522604831";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.517866809";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.506850901";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.506026040";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.501400371";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.490504631";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.490465231";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.486023930";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.474174057";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.474096851";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.469606077";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.458692417";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.457791130";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.454161077";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.442229953";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.442181701";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.438567471";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.426611590";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.426536138";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.421890304";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.410886655";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.410057225";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.405410338";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.394621184";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.394266790";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.389995368";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.378749297";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.377988689";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.373519698";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.362290503";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.362142255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.357949091";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.346649451";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.346555390";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.342334878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.330875443";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.330052229";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.325940602";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.314526878";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.314491647";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.309577373";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.298214810";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.298070100";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.294262916";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.282640869";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.282608439";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.277689928";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.266946787";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.265943732";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.262036392";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.250402099";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.250281044";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.246289302";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.234893372";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.233807659";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.229788870";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.218601458";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.218399043";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.214342964";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.202248569";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.201954906";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.197779310";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.186904766";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.186512754";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.182293815";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.170447476";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.170033635";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.165828810";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.155041812";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.154566240";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.150153255";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.138554404";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.138114285";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.133735746";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.122204480";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.121703568";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.118282969";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.106788978";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.106187566";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.101780153";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.090589840";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.090260776";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.086181054";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.074742453";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.074104904";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.069558933";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.059177771";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.058391524";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.053970518";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.042559030";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.042498147";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.038315855";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.026833320";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.025943017";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.021670522";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139865.010320670";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139865.010315595";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139865.005996406";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.994669521";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.993721968";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.990333736";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.978230028";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.978202849";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.973915283";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.962684409";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.962657771";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.957433033";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.946206912";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.946176894";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.941941861";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.930684938";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.929726769";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.925445085";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.914322659";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.914251704";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.910053530";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.898839310";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.897734429";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.893622381";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.882260826";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.882184385";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.878127781";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.866777672";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.866497489";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.861629375";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.850226187";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.849954712";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.846067554";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.834680903";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.834277198";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.830479619";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.818187654";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.817787821";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.813957176";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.802896265";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.802366535";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.797630848";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.786548974";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.785851338";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.782184730";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.771078142";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.770268458";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.765610231";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.754667410";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.754538157";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.750018231";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.738905069";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.738126782";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.733400336";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.722576108";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.722330479";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.717970773";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.706740017";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.706117215";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.701498899";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.690575663";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.690297044";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.686041267";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.674744266";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.674033783";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.669533738";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.659027503";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.658360463";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim3.sim";"1695139864.653880213";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim2.sim";"1695139864.642456149";"./src/turtle.cpp:update:260"
"Oh no! I hit the wall! (Clamping from [x=-0.027680, y=-0.016057])";"30";"turtlesim1.sim";"1695139864.641755791";"./src/turtle.cpp:update:260"
